,pH,Temp,Current,passorfail,NG
5298,10.3,42.15,7.7,,1.0
5299,10.59,45.24,7.62,,1.0
5300,9.59,47.51,7.43,,1.0
5301,10.51,44.35,8.89,,1.0
5302,10.85,43.47,7.26,,1.0
5303,10.99,43.43,7.97,,1.0
5304,10.68,44.74,8.74,,1.0
5305,10.45,45.15,8.7,,1.0
5306,10.79,47.95,8.71,,1.0
5307,9.78,43.24,8.27,,1.0
5308,10.6,42.57,8.51,,1.0
5309,9.88,44.15,7.44,,1.0
5310,10.95,46.74,7.29,,1.0
5311,10.72,46.44,7.9,,1.0
5312,10.65,47.7,8.29,,1.0
5313,10.8,45.68,7.81,,1.0
5314,10.86,46.17,8.5,,1.0
5315,10.02,42.62,7.49,,1.0
5316,10.97,43.54,7.68,,1.0
5317,10.24,44.86,7.63,,1.0
5318,10.69,44.91,8.19,,1.0
5319,10.61,43.06,8.46,,1.0
5320,10.96,46.47,8.84,,1.0
5321,9.9,43.18,8.69,,1.0
5322,10.82,42.45,8.78,,1.0
5323,10.49,46.08,7.45,,1.0
5324,10.91,42.03,7.7,,1.0
5325,10.69,44.25,8.08,,1.0
5326,10.81,46.43,8.74,,1.0
5327,9.84,45.5,8.53,,1.0
5328,10.01,42.6,7.68,,1.0
5329,9.82,46.22,8.82,,1.0
5330,10.92,43.92,8.24,,1.0
5331,10.54,44.77,7.71,,1.0
5332,10.52,46.33,8.23,,1.0
5333,10.83,44.44,7.24,,1.0
5334,10.55,46.94,8.5,,1.0
5335,10.04,47.75,8.34,,1.0
5336,10.32,45.03,7.34,,1.0
5337,10.64,46.7,7.26,,1.0
5338,10.03,45.95,8.5,,1.0
5339,10.37,42.07,8.26,,1.0
5340,10.88,44.02,7.18,,1.0
5341,10.35,44.1,8.5,,1.0
5342,9.57,44.72,8.03,,1.0
5343,10.67,47.78,7.93,,1.0
5344,10.3,46.22,8.73,,1.0
5345,9.91,44.41,7.38,,1.0
5346,10.94,46.45,8.93,,1.0
5347,10.64,45.13,7.45,,1.0
5348,10.18,44.0,7.08,,1.0
5349,9.95,46.88,7.36,,1.0
5350,10.26,45.33,8.39,,1.0
5351,10.0,47.21,7.63,,1.0
5352,10.92,44.7,7.4,,1.0
5353,9.58,44.14,8.52,,1.0
5354,10.01,42.92,7.91,,1.0
5355,10.33,43.76,8.01,,1.0
5356,9.52,42.12,8.93,,1.0
5357,11.36,43.1,7.31,,1.0
5358,10.61,44.14,7.95,,1.0
5359,10.76,47.03,8.63,,1.0
5360,9.95,44.38,7.15,,1.0
5361,10.56,46.44,7.21,,1.0
5362,9.58,47.29,7.07,,1.0
5363,10.48,44.75,7.4,,1.0
5364,10.27,44.45,8.02,,1.0
5365,10.82,47.72,7.93,,1.0
5366,9.95,42.58,8.17,,1.0
5367,10.38,45.52,7.79,,1.0
5368,10.67,47.15,8.23,,1.0
5369,10.01,44.6,8.79,,1.0
5370,10.11,45.4,7.96,,1.0
5371,9.82,42.5,7.57,,1.0
5372,10.39,44.33,8.68,,1.0
5373,11.69,45.82,6.38,,1.0
5374,9.8,42.38,7.75,,1.0
5375,9.77,44.1,8.5,,1.0
5376,10.24,42.38,8.25,,1.0
5377,9.77,46.58,8.02,,1.0
5378,10.96,46.7,7.14,,1.0
5379,10.95,47.74,8.15,,1.0
5380,9.63,44.23,8.77,,1.0
5381,9.62,43.58,7.6,,1.0
5382,10.73,46.04,8.06,,1.0
5383,10.77,47.04,7.69,,1.0
5384,10.9,43.73,7.29,,1.0
5385,10.72,42.68,8.9,,1.0
5386,10.13,47.79,7.89,,1.0
5387,9.73,44.59,7.96,,1.0
5388,10.21,43.66,7.59,,1.0
5389,10.33,45.84,8.55,,1.0
5390,10.65,46.01,7.21,,1.0
5391,9.59,44.8,8.36,,1.0
5392,10.45,42.16,7.2,,1.0
5393,10.01,47.41,7.65,,1.0
5394,10.3,43.99,7.28,,1.0
5395,10.82,45.88,8.09,,1.0
5396,10.63,42.08,8.34,,1.0
5397,10.0,45.65,7.4,,1.0
5398,10.65,46.79,8.19,,1.0
5399,10.09,45.59,8.57,,1.0
5400,10.22,43.55,7.3,,1.0
5401,9.95,42.26,8.12,,1.0
5402,10.0,47.42,7.86,,1.0
5403,10.81,47.11,8.38,,1.0
5404,10.93,47.85,8.09,,1.0
5405,10.94,45.69,7.69,,1.0
5406,10.34,43.89,7.92,,1.0
5407,9.7,43.87,7.17,,1.0
5408,9.63,42.23,7.46,,1.0
5409,10.07,42.59,7.79,,1.0
5410,10.67,45.11,7.37,,1.0
5411,10.92,47.79,8.18,,1.0
5412,10.21,42.75,7.14,,1.0
5413,10.06,43.53,7.49,,1.0
5414,9.96,46.76,8.15,,1.0
5415,11.36,42.08,6.2,,1.0
5416,10.9,46.41,8.83,,1.0
5417,10.41,42.62,7.96,,1.0
5418,10.67,47.97,7.42,,1.0
5419,9.53,44.64,8.05,,1.0
5420,10.23,46.28,8.72,,1.0
5421,10.62,45.52,8.92,,1.0
5422,9.95,45.56,7.95,,1.0
5423,10.78,42.96,7.38,,1.0
5424,10.02,45.18,8.37,,1.0
5425,10.55,42.07,8.11,,1.0
5426,9.98,45.25,8.32,,1.0
5427,10.84,46.4,7.1,,1.0
5428,9.78,42.45,7.28,,1.0
5429,9.62,44.85,7.52,,1.0
5430,10.74,44.41,7.73,,1.0
5431,10.83,44.18,7.76,,1.0
5432,10.13,47.61,8.67,,1.0
5433,10.23,47.75,7.7,,1.0
5434,10.66,44.24,8.81,,1.0
5435,10.43,47.15,8.14,,1.0
5436,9.68,47.02,8.81,,1.0
5437,10.3,43.25,7.62,,1.0
5438,10.81,45.33,8.4,,1.0
5439,10.14,45.52,8.43,,1.0
5440,10.01,43.02,8.81,,1.0
5441,9.66,46.04,7.52,,1.0
5442,9.57,45.63,8.3,,1.0
5443,9.87,46.26,7.67,,1.0
5444,10.52,46.16,7.46,,1.0
5445,9.51,46.05,7.65,,1.0
5446,10.33,45.85,8.15,,1.0
5447,9.86,42.85,8.21,,1.0
5448,10.48,43.63,7.07,,1.0
5449,10.79,43.83,7.76,,1.0
5450,10.8,47.78,7.3,,1.0
5451,9.6,46.76,8.69,,1.0
5452,10.84,45.3,8.73,,1.0
5453,9.79,45.01,8.6,,1.0
5454,9.62,44.25,8.15,,1.0
5455,10.98,46.91,7.87,,1.0
5456,9.84,44.14,7.27,,1.0
5457,10.82,45.7,7.24,,1.0
5458,10.22,46.31,8.44,,1.0
5459,10.82,42.6,8.29,,1.0
5460,10.51,46.71,8.03,,1.0
5461,10.66,44.86,8.55,,1.0
5462,10.06,47.0,7.12,,1.0
5463,10.43,43.29,8.28,,1.0
5464,10.13,45.88,8.21,,1.0
5465,9.86,46.56,8.22,,1.0
5466,9.68,43.95,7.42,,1.0
5467,10.15,45.78,8.34,,1.0
5468,10.02,44.98,7.5,,1.0
5469,9.8,47.58,8.07,,1.0
5470,10.04,43.99,7.05,,1.0
5471,10.29,43.28,8.65,,1.0
5472,10.63,44.51,8.5,,1.0
5473,10.2,43.28,8.21,,1.0
5474,10.88,46.57,8.29,,1.0
5475,9.63,46.05,7.75,,1.0
5476,10.37,42.79,8.91,,1.0
5477,10.47,47.26,7.72,,1.0
5478,10.52,43.67,7.63,,1.0
5479,10.93,44.19,8.22,,1.0
5480,10.84,42.35,8.34,,1.0
5481,10.37,45.94,7.34,,1.0
5482,9.93,43.33,7.65,,1.0
5483,9.55,46.57,7.47,,1.0
5484,10.35,43.29,8.25,,1.0
5485,9.81,44.78,7.01,,1.0
5486,10.63,45.74,7.66,,1.0
5487,10.36,44.22,8.16,,1.0
5488,9.68,44.83,8.03,,1.0
5489,9.52,51.47,8.44,,1.0
5490,9.81,44.95,8.17,,1.0
5491,10.63,42.5,8.18,,1.0
5492,9.66,44.32,7.91,,1.0
5493,9.62,46.37,8.68,,1.0
5494,10.31,45.49,8.04,,1.0
5495,10.02,45.75,8.21,,1.0
5496,9.93,42.85,7.22,,1.0
5497,10.75,46.26,8.38,,1.0
5498,10.02,43.58,7.66,,1.0
5499,9.57,43.01,7.85,,1.0
5500,9.74,47.19,8.61,,1.0
5501,9.9,47.13,8.19,,1.0
5502,9.75,46.39,8.87,,1.0
5503,9.63,42.42,8.33,,1.0
5504,9.86,46.65,7.51,,1.0
5505,10.2,45.49,8.5,,1.0
5506,9.59,44.56,8.92,,1.0
5507,10.69,45.83,8.41,,1.0
5508,11.06,42.19,6.23,,1.0
5509,10.94,45.47,8.39,,1.0
5510,10.29,46.59,8.52,,1.0
5511,10.93,46.74,7.55,,1.0
5512,10.56,46.16,7.64,,1.0
5513,10.09,44.99,8.98,,1.0
5514,10.23,46.03,8.84,,1.0
5515,10.03,44.05,8.51,,1.0
5516,9.95,45.76,7.22,,1.0
5517,10.44,44.14,8.01,,1.0
5518,9.65,44.64,8.3,,1.0
5519,10.28,43.4,8.84,,1.0
5520,10.65,44.84,8.76,,1.0
5521,9.56,45.68,8.93,,1.0
5522,10.88,42.83,8.93,,1.0
5523,10.26,46.64,7.89,,1.0
5524,10.7,45.19,8.5,,1.0
5525,9.87,47.17,8.54,,1.0
5526,10.59,45.34,8.28,,1.0
5527,10.62,42.5,8.68,,1.0
5528,9.83,43.71,8.24,,1.0
5529,9.96,47.45,8.13,,1.0
5530,10.5,43.43,7.86,,1.0
5531,9.9,43.98,7.95,,1.0
5532,9.96,43.92,8.84,,1.0
5533,10.92,47.1,7.49,,1.0
5534,9.58,43.9,7.12,,1.0
5535,10.55,45.82,7.47,,1.0
5536,9.82,43.68,7.79,,1.0
5537,9.64,44.2,8.68,,1.0
5538,10.58,45.47,8.69,,1.0
5539,10.06,43.86,7.91,,1.0
5540,10.63,47.95,8.76,,1.0
5541,10.93,42.15,7.19,,1.0
5542,9.55,47.25,8.77,,1.0
5543,10.84,43.21,8.29,,1.0
5544,9.55,43.09,7.12,,1.0
5545,10.63,44.37,7.99,,1.0
5546,11.81,47.09,5.54,,1.0
5547,9.66,42.48,8.43,,1.0
5548,9.94,47.03,8.46,,1.0
5549,9.58,45.78,7.34,,1.0
5550,10.48,44.37,8.78,,1.0
5551,10.07,44.9,8.65,,1.0
5552,10.9,46.13,8.84,,1.0
5553,10.91,44.52,8.6,,1.0
5554,9.77,46.97,7.7,,1.0
5555,9.56,47.59,7.17,,1.0
5556,10.17,46.87,7.72,,1.0
5557,10.58,44.77,7.7,,1.0
5558,9.92,44.02,7.37,,1.0
5559,10.46,46.43,7.74,,1.0
5560,10.38,47.21,7.4,,1.0
5561,10.97,47.23,7.98,,1.0
5562,9.61,45.11,8.61,,1.0
5563,9.79,45.88,8.45,,1.0
5564,9.59,47.94,8.4,,1.0
5565,10.81,46.42,8.15,,1.0
5566,9.93,45.66,7.27,,1.0
5567,9.61,45.51,8.44,,1.0
5568,9.84,45.92,8.33,,1.0
5569,10.55,44.07,7.62,,1.0
5570,9.94,47.05,8.56,,1.0
5571,10.25,43.88,8.3,,1.0
5572,10.23,45.13,7.14,,1.0
5573,9.58,44.75,8.67,,1.0
5574,9.8,46.01,8.74,,1.0
5575,10.26,42.83,8.4,,1.0
5576,9.77,44.61,8.64,,1.0
5577,10.86,45.35,7.57,,1.0
5578,10.96,44.34,7.33,,1.0
5579,10.46,46.28,7.66,,1.0
5580,9.7,46.43,8.49,,1.0
5581,10.53,47.16,7.69,,1.0
5582,10.1,46.33,8.9,,1.0
5583,10.5,43.53,8.04,,1.0
5584,9.54,45.82,7.05,,1.0
5585,10.49,44.93,7.54,,1.0
5586,10.22,42.88,7.13,,1.0
5587,10.32,44.49,7.43,,1.0
5588,10.66,44.47,8.11,,1.0
5589,10.51,46.39,7.6,,1.0
5590,10.82,47.42,7.81,,1.0
5591,9.53,46.44,8.43,,1.0
5592,9.65,43.6,8.47,,1.0
5593,10.37,47.47,7.33,,1.0
5594,10.6,42.75,7.22,,1.0
5595,9.82,46.27,8.61,,1.0
5596,9.67,47.97,8.63,,1.0
5597,10.45,45.05,8.42,,1.0
5598,10.69,42.01,7.94,,1.0
5599,10.3,47.49,8.6,,1.0
5600,10.42,44.21,7.44,,1.0
5601,9.73,44.4,7.87,,1.0
5602,10.86,44.99,7.84,,1.0
5603,10.01,43.14,7.3,,1.0
5604,9.54,43.09,8.67,,1.0
5605,9.92,46.43,8.55,,1.0
5606,10.42,44.17,8.62,,1.0
5607,10.73,46.52,8.49,,1.0
5608,10.15,47.15,8.78,,1.0
5609,10.13,45.72,8.86,,1.0
5610,10.94,45.79,7.69,,1.0
5611,10.68,47.67,7.06,,1.0
5612,10.21,45.52,8.42,,1.0
5613,9.99,43.31,7.26,,1.0
5614,10.64,46.46,7.97,,1.0
5615,10.23,44.04,7.15,,1.0
5616,9.9,43.22,8.58,,1.0
5617,10.0,45.4,7.7,,1.0
5618,9.58,43.21,8.97,,1.0
5619,10.09,47.65,7.54,,1.0
5620,10.02,46.21,7.07,,1.0
5621,10.65,44.29,7.4,,1.0
5622,10.86,42.17,6.25,,1.0
5623,9.77,44.16,8.3,,1.0
5624,9.73,46.89,6.09,,1.0
5625,10.64,45.8,8.91,,1.0
5626,10.59,44.44,8.54,,1.0
5627,10.53,43.75,7.92,,1.0
5628,9.55,45.36,7.88,,1.0
5629,10.57,47.04,8.47,,1.0
5630,9.69,42.15,7.89,,1.0
5631,10.3,46.0,7.3,,1.0
5632,9.53,42.9,7.37,,1.0
5633,10.37,42.96,8.76,,1.0
5634,10.46,44.99,8.83,,1.0
5635,10.71,42.74,8.84,,1.0
5636,10.49,42.16,7.66,,1.0
5637,10.42,44.5,8.43,,1.0
5638,10.2,44.17,7.67,,1.0
5639,9.88,45.53,7.36,,1.0
5640,10.76,46.38,7.25,,1.0
5641,10.62,47.21,7.85,,1.0
5642,9.76,44.92,7.18,,1.0
5643,10.32,44.7,7.2,,1.0
5644,9.93,47.29,8.32,,1.0
5645,10.98,44.77,8.7,,1.0
5646,9.87,42.55,7.18,,1.0
5647,9.98,47.64,8.95,,1.0
5648,10.32,44.13,8.87,,1.0
5649,9.71,46.92,7.17,,1.0
5650,10.25,44.31,8.46,,1.0
5651,10.33,43.49,7.92,,1.0
5652,10.8,47.18,7.05,,1.0
5653,9.79,46.16,7.31,,1.0
5654,9.63,44.48,8.32,,1.0
5655,11.6,46.75,7.54,,1.0
5656,10.08,46.01,8.09,,1.0
5657,9.8,44.67,8.52,,1.0
5658,10.19,45.36,7.99,,1.0
5659,10.57,44.35,7.36,,1.0
5660,10.44,44.24,8.52,,1.0
5661,9.68,47.6,8.58,,1.0
5662,10.34,42.19,8.22,,1.0
5663,10.05,44.99,7.99,,1.0
5664,10.98,42.51,7.14,,1.0
5665,10.25,46.83,8.99,,1.0
5666,10.68,44.58,8.31,,1.0
5667,9.61,43.41,7.33,,1.0
5668,9.66,45.31,8.4,,1.0
5669,9.99,44.88,8.52,,1.0
5670,9.79,42.73,8.03,,1.0
5671,10.0,44.02,8.62,,1.0
5672,10.76,47.12,8.02,,1.0
5673,10.67,45.72,8.51,,1.0
5674,10.43,42.9,7.38,,1.0
5675,10.75,43.33,8.4,,1.0
5676,9.66,42.4,7.66,,1.0
5677,10.64,46.37,7.41,,1.0
5678,9.84,45.74,8.68,,1.0
5679,10.79,43.91,7.41,,1.0
5680,9.91,43.67,7.99,,1.0
5681,10.53,43.36,7.77,,1.0
5682,10.06,45.11,7.36,,1.0
5683,10.21,42.02,7.79,,1.0
5684,10.57,44.65,8.72,,1.0
5685,10.04,44.74,7.51,,1.0
5686,10.5,42.87,8.47,,1.0
5687,9.58,47.27,7.75,,1.0
5688,10.02,44.21,7.48,,1.0
5689,10.04,47.17,7.68,,1.0
5690,9.91,47.4,8.87,,1.0
5691,10.27,43.58,8.05,,1.0
5692,10.11,45.61,7.67,,1.0
5693,10.52,46.24,7.15,,1.0
5694,9.58,47.4,8.47,,1.0
5695,10.23,46.12,7.35,,1.0
5696,10.55,43.53,8.12,,1.0
5697,10.08,42.6,8.52,,1.0
5698,9.54,45.86,8.48,,1.0
5699,10.15,43.63,7.68,,1.0
5700,10.32,45.7,7.3,,1.0
5701,10.62,45.43,7.72,,1.0
5702,10.71,45.81,8.67,,1.0
5703,9.91,47.41,8.31,,1.0
5704,9.56,47.44,8.72,,1.0
5705,10.8,44.76,7.13,,1.0
5706,10.71,45.49,7.96,,1.0
5707,10.7,45.5,8.51,,1.0
5708,9.61,47.66,7.49,,1.0
5709,10.07,46.11,8.94,,1.0
5710,10.34,47.92,7.44,,1.0
5711,9.7,43.83,7.9,,1.0
5712,10.04,46.91,7.74,,1.0
5713,9.74,43.86,8.68,,1.0
5714,9.86,45.12,7.94,,1.0
5715,10.16,46.7,7.72,,1.0
5716,9.51,46.61,8.52,,1.0
5717,10.26,43.92,8.0,,1.0
5718,10.03,45.33,7.37,,1.0
5719,9.86,47.14,8.04,,1.0
5720,9.6,42.76,7.1,,1.0
5721,10.01,46.88,8.1,,1.0
5722,10.13,42.07,8.79,,1.0
5723,9.92,47.27,7.12,,1.0
5724,10.34,46.66,8.64,,1.0
5725,9.67,46.19,8.15,,1.0
5726,9.94,47.87,7.91,,1.0
5727,10.04,43.21,8.18,,1.0
5728,9.85,43.03,7.39,,1.0
5729,9.85,45.72,7.16,,1.0
5730,10.59,46.19,7.7,,1.0
5731,10.85,45.47,7.45,,1.0
5732,10.63,47.19,7.7,,1.0
5733,10.01,42.15,8.92,,1.0
5734,10.86,43.61,7.53,,1.0
5735,9.56,42.7,7.42,,1.0
5736,10.22,43.4,7.47,,1.0
5737,10.38,42.53,7.32,,1.0
5738,10.15,43.57,7.62,,1.0
5739,10.16,47.77,8.01,,1.0
5740,10.33,44.27,7.28,,1.0
5741,10.34,45.8,8.06,,1.0
5742,10.95,45.43,7.05,,1.0
5743,10.85,44.52,8.68,,1.0
5744,10.05,42.44,8.72,,1.0
5745,10.09,45.66,7.77,,1.0
5746,9.52,46.48,7.43,,1.0
5747,10.26,47.62,7.11,,1.0
5748,10.17,44.61,7.14,,1.0
5749,10.21,45.51,7.61,,1.0
5750,9.98,43.15,7.46,,1.0
5751,10.11,44.24,8.51,,1.0
5752,10.93,47.23,8.44,,1.0
5753,10.93,43.75,7.66,,1.0
5754,10.42,46.34,7.59,,1.0
5755,10.95,46.33,8.21,,1.0
5756,10.09,47.84,8.66,,1.0
5757,10.98,42.54,8.65,,1.0
5758,10.07,43.74,8.26,,1.0
5759,9.63,46.29,7.06,,1.0
5760,9.58,46.44,7.92,,1.0
5761,9.86,45.76,7.14,,1.0
5762,9.98,44.17,7.98,,1.0
5763,10.09,44.55,8.24,,1.0
5764,10.76,43.45,8.77,,1.0
5765,10.22,46.15,8.66,,1.0
5766,9.81,43.97,8.86,,1.0
5767,10.65,42.13,8.58,,1.0
5768,9.54,44.31,7.83,,1.0
5769,10.4,46.14,7.27,,1.0
5770,10.81,45.54,7.49,,1.0
5771,9.54,45.67,7.89,,1.0
5772,10.75,47.79,7.46,,1.0
5773,10.88,47.37,8.95,,1.0
5774,10.0,43.92,7.06,,1.0
5775,10.08,43.71,8.05,,1.0
5776,9.9,47.6,8.04,,1.0
5777,10.2,47.51,7.03,,1.0
5778,9.8,46.73,8.48,,1.0
5779,9.69,45.89,7.6,,1.0
5780,10.17,44.91,8.48,,1.0
5781,9.88,45.63,8.74,,1.0
5782,10.26,43.75,8.45,,1.0
5783,9.96,47.66,8.92,,1.0
5784,10.36,44.76,8.3,,1.0
5785,9.71,46.3,8.06,,1.0
5786,10.24,42.18,7.33,,1.0
5787,10.99,43.75,8.26,,1.0
5788,10.32,47.4,8.29,,1.0
5789,10.63,44.12,8.82,,1.0
5790,10.03,44.07,8.15,,1.0
5791,9.65,46.14,8.21,,1.0
5792,10.52,42.31,8.42,,1.0
5793,9.99,42.28,8.07,,1.0
5794,10.7,47.61,8.35,,1.0
5795,9.72,46.43,6.13,,1.0
5796,10.62,42.37,7.08,,1.0
5797,10.27,45.62,7.15,,1.0
5798,9.92,45.48,7.53,,1.0
5799,10.33,44.21,7.61,,1.0
5800,9.53,44.3,8.83,,1.0
5801,10.28,47.58,8.91,,1.0
5802,10.37,43.57,7.81,,1.0
5803,10.95,46.42,7.85,,1.0
5804,9.83,47.27,8.06,,1.0
5805,10.22,50.18,8.92,,1.0
5806,10.68,46.32,7.91,,1.0
5807,10.97,47.12,8.52,,1.0
5808,10.64,47.51,8.21,,1.0
5809,10.96,43.3,8.25,,1.0
5810,10.66,43.22,7.8,,1.0
5811,9.86,47.39,8.21,,1.0
5812,9.93,42.02,8.4,,1.0
5813,10.59,45.86,8.2,,1.0
5814,9.72,43.73,7.14,,1.0
5815,10.82,45.7,7.48,,1.0
5816,9.54,42.41,8.95,,1.0
5817,10.46,47.15,7.56,,1.0
5818,10.15,44.26,8.43,,1.0
5819,10.33,45.15,8.21,,1.0
5820,10.1,45.21,8.58,,1.0
5821,9.79,42.57,8.82,,1.0
5822,10.02,46.05,7.46,,1.0
5823,10.01,44.58,7.59,,1.0
5824,9.88,44.18,8.06,,1.0
5825,10.34,46.51,8.59,,1.0
5826,9.51,46.07,7.6,,1.0
5827,10.19,44.5,7.4,,1.0
5828,10.99,46.94,8.27,,1.0
5829,10.65,47.89,8.3,,1.0
5830,10.22,50.18,8.92,,1.0
5831,10.23,44.65,8.07,,1.0
5832,10.58,43.87,7.58,,1.0
5833,10.38,43.92,7.56,,1.0
5834,10.22,50.18,8.92,,1.0
5835,10.56,46.97,8.06,,1.0
5836,10.39,45.49,7.21,,1.0
5837,10.4,46.57,7.02,,1.0
5838,10.97,46.1,8.12,,1.0
5839,10.82,43.62,7.67,,1.0
5840,10.8,44.73,8.94,,1.0
5841,9.64,42.98,8.44,,1.0
5842,9.8,46.17,7.08,,1.0
5843,10.22,50.18,8.92,,1.0
5844,10.45,44.07,8.74,,1.0
5845,10.79,43.44,7.3,,1.0
5846,10.65,46.57,8.54,,1.0
5847,10.17,42.82,8.8,,1.0
5848,9.69,43.77,8.23,,1.0
5849,9.84,42.17,8.43,,1.0
5850,10.99,42.91,7.53,,1.0
5851,9.51,43.96,7.14,,1.0
5852,9.59,43.17,7.31,,1.0
5853,9.68,47.52,8.38,,1.0
5854,10.32,47.21,7.24,,1.0
5855,9.51,45.0,8.3,,1.0
5856,10.11,44.88,7.27,,1.0
5857,9.56,44.08,8.57,,1.0
5858,10.77,45.4,8.86,,1.0
5859,10.83,44.34,7.76,,1.0
5860,9.76,46.88,8.92,,1.0
5861,10.95,46.89,7.28,,1.0
5862,9.58,44.22,8.86,,1.0
5863,10.46,46.65,8.05,,1.0
5864,10.99,44.03,7.39,,1.0
5865,10.72,42.2,8.13,,1.0
5866,9.77,46.48,8.46,,1.0
5867,10.3,45.85,7.57,,1.0
5868,9.71,47.94,7.87,,1.0
5869,10.14,46.95,7.76,,1.0
5870,10.73,44.08,7.82,,1.0
5871,10.58,47.79,8.89,,1.0
5872,10.84,44.88,7.11,,1.0
5873,10.23,42.65,7.57,,1.0
5874,9.75,44.26,7.27,,1.0
5875,9.59,42.12,8.48,,1.0
5876,10.86,47.41,8.2,,1.0
5877,9.83,46.74,7.31,,1.0
5878,10.34,46.7,7.69,,1.0
5879,9.61,43.57,7.3,,1.0
5880,10.45,44.45,7.48,,1.0
5881,9.89,46.56,7.89,,1.0
5882,11.33,46.49,8.78,,1.0
5883,10.84,45.73,7.4,,1.0
5884,10.98,44.27,7.16,,1.0
5885,10.57,47.98,8.63,,1.0
5886,9.6,42.09,8.69,,1.0
5887,10.8,42.18,8.66,,1.0
5888,10.16,44.42,8.42,,1.0
5889,10.9,45.05,8.11,,1.0
5890,11.29,42.59,8.74,,1.0
5891,10.01,47.43,8.06,,1.0
5892,10.04,43.56,8.43,,1.0
5893,9.79,45.62,8.27,,1.0
5894,9.71,46.87,8.62,,1.0
5895,10.0,42.8,8.72,,1.0
5896,9.62,46.23,7.29,,1.0
5897,10.19,47.11,8.8,,1.0
5898,10.64,43.67,8.74,,1.0
5899,10.45,45.92,8.26,,1.0
5900,10.67,44.23,8.86,,1.0
5901,10.61,44.03,8.69,,1.0
5902,10.84,44.62,7.36,,1.0
5903,10.77,45.17,8.44,,1.0
5904,10.83,47.68,8.68,,1.0
5905,10.1,44.56,7.86,,1.0
5906,10.48,45.47,8.03,,1.0
5907,10.76,43.49,8.04,,1.0
5908,10.28,45.78,7.92,,1.0
5909,10.75,45.47,7.84,,1.0
5910,9.97,44.44,7.97,,1.0
5911,10.11,42.85,8.39,,1.0
5912,10.44,47.58,8.42,,1.0
5913,9.59,47.55,8.63,,1.0
5914,10.84,43.4,7.94,,1.0
5915,10.28,44.27,7.9,,1.0
5916,10.02,44.69,8.14,,1.0
5917,10.43,45.02,7.87,,1.0
5918,9.61,47.98,7.47,,1.0
5919,10.42,43.56,7.23,,1.0
5920,10.34,44.48,8.84,,1.0
5921,10.31,43.23,8.4,,1.0
5922,9.8,46.27,7.37,,1.0
5923,10.93,47.85,7.96,,1.0
5924,10.75,44.61,7.44,,1.0
5925,10.67,46.66,7.86,,1.0
5926,10.19,46.86,8.26,,1.0
5927,10.93,44.69,7.32,,1.0
5928,10.04,43.85,7.16,,1.0
5929,9.81,42.8,7.27,,1.0
5930,10.92,46.65,8.82,,1.0
5931,9.58,43.05,8.34,,1.0
5932,10.52,47.8,8.03,,1.0
5933,10.39,47.77,7.02,,1.0
5934,10.91,47.06,8.64,,1.0
5935,9.55,44.23,7.57,,1.0
5936,10.81,42.07,8.12,,1.0
5937,10.86,47.52,8.35,,1.0
5938,10.24,45.52,8.65,,1.0
5939,10.43,43.76,7.93,,1.0
5940,10.64,47.66,8.45,,1.0
5941,9.73,46.81,8.62,,1.0
5942,10.42,42.97,7.1,,1.0
5943,10.27,46.53,7.16,,1.0
5944,10.38,45.91,8.54,,1.0
5945,11.6,47.03,5.83,,1.0
5946,10.7,46.69,8.18,,1.0
5947,9.91,47.28,7.31,,1.0
5948,10.2,45.59,7.23,,1.0
5949,9.55,43.67,7.91,,1.0
5950,10.75,45.85,8.35,,1.0
5951,10.8,42.05,7.36,,1.0
5952,10.01,42.36,8.47,,1.0
5953,10.84,43.63,7.06,,1.0
5954,9.73,43.1,7.73,,1.0
5955,10.91,46.85,8.09,,1.0
5956,9.61,47.48,7.41,,1.0
5957,10.41,47.38,8.42,,1.0
5958,10.62,43.99,8.2,,1.0
5959,9.88,42.58,8.92,,1.0
5960,10.85,42.32,7.2,,1.0
5961,9.9,45.0,8.36,,1.0
5962,10.21,45.93,7.8,,1.0
5963,10.13,44.16,5.64,,1.0
5964,9.75,46.43,7.64,,1.0
5965,9.67,47.09,8.15,,1.0
5966,9.51,46.88,7.7,,1.0
5967,9.86,46.7,7.15,,1.0
5968,9.88,44.81,7.95,,1.0
5969,10.53,43.65,8.62,,1.0
5970,9.66,47.47,8.01,,1.0
5971,10.3,46.09,8.62,,1.0
5972,9.69,45.94,8.98,,1.0
5973,10.68,43.86,7.28,,1.0
5974,10.8,42.61,7.87,,1.0
5975,10.41,44.35,7.07,,1.0
5976,10.46,46.62,8.55,,1.0
5977,10.48,43.03,8.77,,1.0
5978,10.63,44.0,8.47,,1.0
5979,9.92,45.19,8.24,,1.0
5980,9.84,45.51,8.42,,1.0
5981,10.15,47.28,8.41,,1.0
5982,10.67,47.44,7.43,,1.0
5983,9.84,43.68,7.54,,1.0
5984,9.67,44.91,8.16,,1.0
5985,9.88,42.67,8.21,,1.0
5986,10.0,47.7,8.36,,1.0
5987,9.59,47.36,8.34,,1.0
5988,10.36,45.71,7.29,,1.0
5989,9.86,44.35,8.02,,1.0
5990,10.16,45.8,8.29,,1.0
5991,10.73,45.47,8.96,,1.0
5992,9.66,45.49,8.47,,1.0
5993,10.27,43.96,7.77,,1.0
5994,10.92,44.05,7.29,,1.0
5995,10.75,45.24,7.11,,1.0
5996,10.17,45.26,7.85,,1.0
